,year,protest_time
5267,2006,0
5268,2007,1
5269,2008,0
5270,2009,1
5271,2010,0
5272,2011,0
5273,2012,0
5274,2013,1
5275,2014,0
5276,2015,0
8001,1991,1
8002,1991,1
8003,1991,1
8004,1992,1
8005,1992,3
8006,1992,1
8007,1992,1
8008,1993,1
8009,1993,2
8010,1993,1
8011,1993,1
8012,1994,1
8013,1994,1
8014,1994,1
8015,1994,1
8016,1994,6
8017,1995,5
8018,1995,1
8019,1996,1
8020,1997,0
8021,1998,1
8022,1998,1
8023,1998,1
8024,1998,1
8025,1998,1
8026,1998,1
8027,1998,1
8028,1998,1
8029,1999,1
8030,1999,1
8031,1999,1
8032,1999,1
8033,1999,1
8034,1999,1
8035,1999,1
8036,1999,1
8037,1999,1
8038,1999,1
8039,2000,1
8040,2000,1
8041,2000,1
8042,2000,1
8043,2000,1
8044,2000,1
8045,2000,1
8046,2000,1
8047,2000,1
8048,2000,1
8049,2000,1
8050,2000,1
8051,2001,2
8052,2001,1
8053,2002,1
8054,2002,1
8055,2002,1
8056,2002,1
8057,2002,1
8058,2002,1
8059,2002,1
8060,2002,1
8061,2002,1
8062,2002,1
8063,2002,1
8064,2002,1
8065,2002,1
8066,2002,1
8067,2002,1
8068,2002,1
8069,2002,1
8070,2002,1
8071,2002,1
8072,2002,1
8073,2003,1
8074,2003,1
8075,2003,1
8076,2003,1
8077,2003,1
8078,2003,1
8079,2003,1
8080,2003,1
8081,2003,1
8082,2004,0
8083,2005,1
8084,2005,1
8085,2005,1
8086,2005,1
8087,2005,1
8088,2005,1
8089,2005,1
8090,2005,1
8091,2005,1
8092,2005,1
8093,2005,1
8094,2005,1
8095,2006,1
8096,2006,1
8097,2006,1
8098,2006,1
8099,2006,1
8100,2006,1
8101,2007,1
8102,2007,1
8103,2007,1
8104,2007,1
8105,2007,1
8106,2008,1
8107,2008,1
8108,2009,1
8109,2010,1
8110,2010,1
8111,2010,1
8112,2010,1
8113,2010,1
8114,2010,1
8115,2011,2
8116,2011,1
8117,2011,1
8118,2012,1
8119,2012,1
8120,2013,3
8121,2013,1
8122,2013,1
8123,2013,1
8124,2014,0
8125,2015,0
8126,2016,82
8127,2016,1
8128,2017,0
8129,2018,1
8130,2018,1
8131,2019,0
8132,2020,1
13468,1990,0
13469,1991,0
13470,1992,0
13471,1993,0
13472,1994,15
13473,1995,0
13474,1996,1
13475,1996,1
13476,1996,1
13477,1996,1
13478,1997,0
13479,1998,0
13480,1999,0
13481,2000,1
13482,2001,0
13483,2002,0
13484,2003,1
13485,2004,0
13486,2005,1
13487,2005,1
13488,2006,0
13489,2007,1
13490,2007,1
13491,2007,3
13492,2008,0
13493,2009,0
13494,2010,0
13495,2011,1
13496,2011,31
13497,2011,1
13498,2011,1
13499,2011,1
13500,2011,1
13501,2011,1
13502,2011,1
13503,2012,1
13504,2012,1
13505,2012,1
13506,2012,1
13507,2012,1
13508,2012,3
13509,2012,1
13510,2012,1
13511,2012,1
13512,2013,2
13513,2013,1
13514,2013,2
13515,2013,1
13516,2014,2
13517,2014,1
13518,2014,2
13519,2014,1
13520,2014,1
13521,2014,1
13522,2014,1
13523,2014,1
13524,2015,1
13525,2015,2
13526,2016,1
13527,2017,2
13528,2017,1
13529,2018,0
13530,2019,0
13531,2020,0
15528,1990,1
15529,1990,1
15530,1990,1
15531,1990,1
15532,1990,1
15533,1990,1
15534,1990,1
15535,1990,1
15536,1990,1
15537,1990,7
15538,1991,0
15539,1992,1
15540,1992,1
15541,1992,1
15542,1992,1
15543,1992,1
15544,1992,1
15545,1993,0
15546,1994,1
15547,1994,1
15548,1994,1
15549,1994,1
15550,1994,1
15551,1994,1
15552,1994,1
15553,1994,1
15554,1994,1
15555,1994,1
15556,1994,1
15557,1994,1
15558,1994,2
15559,1995,3
15560,1995,1
15561,1995,1
15562,1995,2
15563,1995,1
15564,1995,2
15565,1995,1
15566,1995,1
15567,1995,1
15568,1995,6
15569,1995,1
15570,1995,1
15571,1995,4
15572,1996,1
15573,1996,1
15574,1996,1
15575,1996,1
15576,1996,2
15577,1996,1
15578,1997,1
15579,1997,1
15580,1997,1
15581,1997,1
15582,1997,1
15583,1997,1
15584,1997,1
15585,1997,1
15586,1997,1
15587,1997,1
15588,1997,1
15589,1997,1
15590,1997,1
15591,1998,1
15592,1998,1
15593,1998,2
15594,1998,1
15595,1998,1
15596,1998,1
15597,1998,1
15598,1998,1
15599,1998,1
15600,1998,1
15601,1998,1
15602,1999,1
15603,1999,3
15604,1999,1
15605,1999,1
15606,1999,2
15607,1999,2
15608,1999,1
15609,1999,1
15610,1999,1
15611,1999,1
15612,1999,1
